,A Room with a View.txt,A Doll's House.txt,A Christmas Carol in Prose Being a Ghost Story of Christmas.txt,A Modest Proposal.txt,A Short History of English Agriculture.txt,A Smaller History of Rome.txt
exceeds,0,0,0,0,1,0
excel,0,0,0,0,0,1
excelled,0,0,0,0,1,1
excellence,0,0,0,0,1,1
"excellence,",0,0,0,0,1,0
excellence.,0,0,0,0,1,0
excellence;,0,0,0,0,1,0
excellences,0,0,0,0,0,1
excellent,1,1,1,1,1,1
"excellent,",0,0,0,0,1,0
excellent.,0,0,0,0,1,0
"excels',",0,0,0,0,1,0
except,1,1,1,1,1,1
"except,",1,0,0,0,0,0
excepted),0,0,0,0,1,0
"excepted,",0,0,0,0,1,0
excepted.,0,0,0,0,1,0
exception,0,0,0,0,1,1
"exception,",0,0,0,0,0,1
exceptional,0,0,0,0,1,0
"exceptional,",0,0,0,0,1,0
exceptional.,0,0,0,0,1,0
exceptionally,0,0,0,0,1,0
exceptions,0,0,0,0,1,0
"exceptions,",0,0,0,0,1,0
excess,0,0,0,0,1,0
excesses,0,0,0,0,0,1
"excesses,",0,0,0,0,0,1
excesses.,0,0,0,0,0,1
excesses;,0,1,0,0,0,0
excessive,0,0,0,0,1,1
"excessive,",0,0,0,0,0,1
excessively,0,0,0,0,1,0
exchange,0,0,0,0,0,1
"exchange,",0,0,0,0,1,0
exchange;,0,0,0,1,0,0
exchanged,1,1,0,0,1,0
"exchanges,",0,0,0,0,1,0
exchanges.,0,0,0,0,1,0
exchanging,0,0,1,0,1,0
excise,0,0,0,0,1,1
excite,0,0,0,0,0,1
excited,1,0,1,0,1,1
excitedly.,1,0,0,0,0,0
excitedly;,1,0,0,0,0,0
excitement,0,0,0,0,0,1
excitement.,1,0,1,0,0,0
excitement:,0,0,1,0,0,0
excitement;,0,0,0,0,0,1
excites,0,0,0,0,0,1
exciting,1,0,0,0,0,0
exclaimed,1,0,1,0,0,1
"exclaimed,",1,0,1,0,0,1
exclaimed.,1,0,1,0,0,0
exclaimed:,1,0,0,0,0,0
"exclaimed—“oh,",1,0,0,0,0,0
exclaiming,1,0,0,0,0,1
"exclaiming,",0,0,0,0,0,1
exclaiming:,1,0,0,0,0,0
exclamation,1,0,0,0,0,0
exclude,0,0,0,0,0,1
exclude.,1,0,0,0,0,0
excluded,0,0,0,0,1,1
"excluded,",0,0,0,0,0,1
excluding,0,0,0,0,1,1
exclusion,1,1,1,1,1,1
exclusive,0,0,1,0,1,1
exclusively,0,0,0,0,0,1
"exclusively,",0,0,0,0,1,0
exclusively;,0,0,0,0,0,1
excrescence,0,0,1,0,0,0
"excursions,",0,0,0,0,1,0
excursions.,0,0,0,0,0,1
excusable.”,1,0,0,0,0,0
excuse,1,1,1,0,1,0
"excuse,",0,0,0,0,1,0
excuse.,0,0,0,0,0,1
excused,0,0,0,0,0,1
excuses,0,0,0,0,0,1
excuses.,0,1,0,0,0,0
execrable.,0,0,1,0,0,0
execrations.,0,0,0,0,0,1
execute,0,0,0,0,1,1
execute.,0,0,0,0,1,0
executed,0,0,0,0,1,1
"executed,",0,0,0,0,0,1
executed.,0,0,0,0,0,1
executing,0,0,0,0,0,1
execution,0,0,0,0,0,1
"execution,",0,0,0,0,0,1
execution.,0,0,0,0,0,1
execution.',0,0,0,0,1,0
execution;,0,0,0,0,0,1
executioner,0,0,0,1,0,1
executioners,0,0,0,0,0,1
executions,0,0,0,0,0,1
"executions,",0,0,0,0,1,0
executive,0,0,0,0,0,1
"executive,",0,0,0,0,0,1
"executor,",0,0,1,0,0,0
exemplifications,0,0,0,0,1,0
exempt,1,1,1,1,1,1
exempted,0,0,0,0,1,1
exercise,1,0,0,0,1,1
"exercise,",0,0,0,1,0,1
exercised,0,0,0,0,1,1
exercises,0,0,0,0,0,1
"exercises,",0,0,0,0,0,1
exercises.,0,0,0,0,0,1
exercising,0,0,0,0,0,1
exert,0,0,0,0,1,0
exerted,0,0,0,0,0,1
exertion,1,0,0,0,1,0
exertion.,0,0,0,0,0,1
exertions,0,0,0,0,1,1
exertions.,0,0,0,0,1,0
exhalations.,0,0,0,0,0,1
exhaling,1,0,0,0,0,0
exhaust,0,0,0,0,1,0
exhausted,0,0,0,0,1,1
"exhausted,",0,0,1,0,0,0
exhausted.,0,0,0,0,1,0
exhausting,0,0,0,0,1,0
exhibit,0,0,0,0,1,1
exhibited,0,0,0,0,1,1
exhibited.,0,0,0,0,0,1
exhibition,1,0,0,0,1,1
exhibition?”,1,0,0,0,0,0
exhibitions,0,0,0,0,0,1
exhibits,0,0,0,0,1,1
exhorted,0,0,0,0,0,1
exigencies,0,0,0,0,0,1
exile,0,0,0,0,0,1
"exile,",0,0,0,0,0,1
exile.,0,0,0,0,0,1
exile:,0,0,0,0,0,1
exile;,0,0,0,0,0,1
exiled,0,0,0,0,0,1
exiles,0,0,0,0,0,1
"exiles,",0,0,0,0,0,1
exiles;,0,0,0,0,0,1
exist,1,1,0,0,1,1
"exist,",0,1,0,0,1,1
exist.,0,0,0,0,0,1
exist.',0,0,0,0,1,0
exist.[9],0,0,0,0,1,0
existed,1,1,0,0,1,1
"existed,",1,0,0,0,1,1
existed.,1,0,0,0,0,0
existence,1,0,0,0,1,1
"existence,",0,0,0,0,1,1
existence.,0,0,0,0,1,1
existence:,0,0,0,0,1,0
existing,0,0,0,0,1,1
exists,1,1,1,1,1,1
"exists,",0,0,0,0,0,1
exit,0,1,0,0,1,0
exodus,0,0,0,0,1,0
exorbitance,0,0,0,0,1,0
exorbitant,0,0,0,0,1,1
exotic;,0,0,0,0,1,0
expanded,1,0,0,0,0,0
expanded;,1,0,0,0,0,0
expanse,1,0,0,0,0,0
expanses,1,0,0,0,0,0
expansion,0,0,0,0,1,0
expatriate,0,0,0,0,0,1
expect,1,1,0,0,1,1
"expect,",0,0,0,0,1,0
expect.,0,1,0,0,1,0
expectant,0,0,1,0,0,0
expectation,0,0,1,0,1,1
expectations,0,0,0,0,0,1
expected,1,1,1,0,1,1
"expected),",0,0,0,0,0,1
"expected,",1,0,0,0,1,1
expected.,0,0,0,1,0,1
expecting,1,1,1,0,0,0
expect—I,1,0,0,0,0,0
expediency,0,0,0,0,0,1
expedient,0,1,0,1,1,1
"expedients,",0,0,0,1,0,0
expedients:,0,0,0,1,0,0
expedition,1,0,0,0,1,1
"expedition,",1,0,0,0,0,1
expedition.,1,0,0,0,0,0
expeditions,0,0,0,0,0,1
expel,0,0,0,0,0,1
expelled,0,0,0,0,0,1
"expelled,",0,0,0,0,0,1
expelling,0,0,0,0,0,1
expence,0,0,0,1,0,0
expence.,0,0,0,1,0,0
expend,1,1,1,1,1,1
expended,0,0,0,0,1,1
expended.,0,0,0,0,0,1
expending,0,0,1,0,0,0
expenditure,0,0,0,0,1,1
"expenditure,",0,0,0,0,0,1
expense,1,1,1,1,1,1
"expense,",0,0,0,0,0,1
expense;,0,0,0,0,1,0
expense?,1,0,0,0,0,0
expense[565],0,0,0,0,1,0
expenses,1,1,0,0,1,1
"expenses,",1,1,1,1,1,1
expensive,1,1,0,1,1,1
"expensive,",0,0,0,0,1,0
expensive.,0,0,0,0,1,0
expensive;,0,0,0,0,1,0
expensively,1,0,0,0,0,0
expensiveness,0,0,0,1,0,0
experience,1,1,0,0,1,1
"experience,",1,0,0,1,0,1
experience.,1,1,0,0,1,0
experience;,0,0,0,0,0,1
experienced,0,0,0,0,1,1
experienced'[476];,0,0,0,0,1,0
experiences,1,0,0,0,0,0
"experiences,",0,0,0,0,1,0
experiencing,0,0,0,0,0,1
experiment,0,0,0,0,1,1
experimental,0,0,0,0,1,0
experimented,0,0,0,0,1,0
experimenting,0,0,0,0,1,0
experimenting.,0,0,0,0,1,0
experiments,0,0,0,0,1,0
"experiments,",0,0,0,0,1,0
"experiments,'",0,0,0,0,1,0
experiments.',0,0,0,0,1,0
experiments;,0,0,0,0,1,0
expertly,0,0,0,0,1,0
expiate,0,0,0,0,0,1
expiration,0,0,0,0,1,1
expire,0,0,0,0,1,1
expired,0,0,0,0,0,1
"expired,",0,0,0,0,0,1
expired.,0,0,0,0,1,0
explain,1,1,1,0,0,1
"explain,”",1,0,0,0,0,0
explain.,1,0,0,0,0,0
explain.”,1,0,0,0,0,0
explained,1,0,0,0,1,1
explained.,0,0,0,0,0,1
explained;,0,1,0,0,0,0
explained—it,1,0,0,0,0,0
explains,1,0,0,0,0,0
explain—I,1,0,0,0,0,0
explain—it’s,1,0,0,0,0,0
explanation,1,1,1,1,1,1
explanation.,1,1,1,1,1,1
explanations.,1,0,0,0,0,0
exploded,1,0,0,0,0,0
exploit,0,0,0,0,0,1
exploit.,1,0,0,0,0,0
exploited,0,0,0,0,1,0
exploits,1,0,0,0,0,1
exploits.,0,0,0,0,0,1
explosion,1,0,0,0,0,0
explosive,1,0,0,0,0,0
export,0,0,0,0,1,0
"export,",0,0,0,0,1,0
export.,0,0,0,0,1,0
export.[428],0,0,0,0,1,0
exportation,0,0,0,1,0,0
"exportation,",0,0,0,1,1,0
exported,0,0,0,0,1,1
exporting,1,1,1,1,1,1
exports,0,0,0,0,1,0
"exports,",0,0,0,0,1,0
exports.,0,0,0,0,1,0
exports:,0,0,0,0,1,0
expose,1,1,0,0,0,0
exposed,0,1,0,0,1,1
"exposed,",0,0,1,0,0,1
exposed.,0,0,0,0,0,1
exposed.[651],0,0,0,0,1,0
exposing,0,0,0,0,0,1
exposure,1,0,0,0,1,0
expound,0,0,0,0,0,1
express,0,0,1,0,0,1
express--no,0,0,0,0,0,1
express.,1,0,0,0,0,0
expressed,1,0,1,0,1,1
expresses,1,0,0,0,0,0
expressing,0,0,0,0,0,1
expression,1,1,1,0,0,0
"expression,",0,0,1,0,0,1
expression.,0,0,1,0,0,1
expressionless,0,1,0,0,0,0
expressions,0,0,0,0,0,1
expressly,0,0,0,0,1,1
expulsion,0,0,0,0,0,1
exquisite,0,0,0,0,0,1
exquisitely,0,0,0,0,0,1
extant,0,0,0,0,0,1
"extant,",0,0,0,0,0,1
extant.,0,0,0,0,0,1
extemporaneous,0,0,0,0,0,1
extempore,0,0,0,0,0,1
extend,0,0,0,0,1,1
extended,1,0,0,0,1,1
extended.,1,0,0,0,0,0
extending,0,0,0,0,0,1
"extending,",0,0,0,0,1,0
extension,0,0,0,0,1,1
extensive,0,0,0,0,1,1
"extensive,",0,0,0,0,0,1
extensive.,0,0,1,0,0,0
extensively,0,0,0,0,1,1
extent,1,1,1,1,1,1
"extent,",0,0,0,1,1,1
extent.,0,0,0,0,0,1
extent;,0,0,0,0,1,0
extenuation,0,0,0,0,0,1
exterior,1,0,0,0,0,0
external,1,0,0,0,0,1
externally,0,0,0,0,0,1
extinct,0,0,0,0,1,1
"extinct,",0,0,0,0,1,0
extinct.,0,0,0,0,0,1
extinction,0,0,0,0,1,1
extinguish,1,0,0,0,1,0
extinguished,0,0,1,0,1,0
extinguisher,0,0,1,0,0,0
"extinguisher-cap,",0,0,1,0,0,0
extirpate,0,0,0,0,0,1
extirpated,0,0,0,0,0,1
extorted,0,0,0,0,0,1
extortion,0,0,0,0,0,1
"extortion,",0,0,0,0,0,1
extortions,0,0,0,0,0,1
extra,1,0,0,0,1,0
extract,1,0,1,0,0,0
extracted,1,0,0,0,0,0
extracting,1,0,0,0,0,0
extracts,0,0,0,0,1,1
extraordinarily,0,1,0,0,1,0
extraordinarily;,1,0,0,0,0,0
extraordinary,1,0,1,0,1,1
extras,0,0,0,0,1,0
extravagance,0,0,0,0,1,1
"extravagance,",0,0,0,0,0,1
extravagance.,0,0,1,0,0,0
extravagant,0,1,1,0,1,0
"extravagant,",0,0,0,0,1,0
extravagant.,0,0,0,0,1,0
extravagantly.,0,1,0,0,0,0
extreme,0,0,0,0,1,1
"extreme,",0,0,0,0,1,0
extreme.,0,0,0,0,1,0
extremely,1,1,1,0,1,1
"extremes,",0,0,1,0,0,0
extremities,0,0,0,0,0,1
extremities.,0,0,0,0,0,1
extremity,0,0,1,0,0,1
"extremity,",0,0,0,0,0,1
exuded,1,0,0,0,0,0
exultation,0,0,0,0,0,1
exulted!,0,0,1,0,0,0
eye,1,1,1,0,1,1
"eye,",0,0,1,0,0,0
eye.,1,0,1,0,0,0
eye;,1,0,0,0,0,0
eyebrows,1,0,0,0,0,0
eyebrows!,0,0,1,0,0,0
"eyebrows,",0,0,1,0,0,0
eyebrows.,1,0,0,0,0,0
eyelids,0,0,0,0,0,1
eyes,1,1,1,0,1,1
eyes!,0,1,0,0,0,0
"eyes,",1,0,1,0,1,0
"eyes,""",0,0,1,0,0,0
eyes.,1,1,1,0,1,1
eyes.”,1,0,0,0,0,0
eyes;,1,0,1,0,0,0
eyewitness,0,0,0,0,1,0
eye—a,1,0,0,0,0,0
eye—the,1,0,0,0,0,0
eye—”,1,0,0,0,0,0
fable,0,0,0,0,0,1
fables,0,0,0,0,0,1
fables.,0,0,0,0,0,1
"fabric,",0,0,0,0,0,1
fabric.,1,0,0,0,0,0
fabulous,0,0,0,0,1,0
fabulous.[719],0,0,0,0,1,0
face,1,1,1,0,1,1
face!,0,1,1,0,0,0
"face,",1,1,1,0,1,0
face.,1,1,1,0,1,0
face:,0,0,1,0,0,0
face;,1,0,1,0,0,0
face?,0,1,0,0,0,0
face]_.,0,1,0,0,0,0
faced,1,0,0,0,0,0
"faced,",1,0,0,0,0,0
faces,1,0,1,0,1,1
"faces,",1,0,1,0,0,0
faces.,0,0,1,0,0,0
facetious,0,0,1,0,0,0
facie,0,0,0,0,1,0
facilitated,0,0,0,0,1,1
facilitating,0,0,0,0,1,0
facilities,0,0,0,0,0,1
"facilities,",1,0,0,0,0,0
facilities—please,1,0,0,0,0,0
facility:,1,1,1,1,1,1
facing,1,0,0,0,0,0
fact,1,1,1,0,1,1
"fact,",1,1,1,0,1,1
fact.,1,1,0,0,0,0
faction,0,0,0,0,1,0
factions,1,0,0,0,0,0
"factions,",0,0,0,1,0,1
factions.,0,0,0,0,0,1
factious,0,0,1,0,0,0
factor,0,0,0,0,1,0
factor.,0,0,0,0,1,0
factories,0,0,0,0,1,0
factors,0,0,0,0,1,0
factory,0,0,0,0,1,0
"factory,",0,0,0,0,1,0
facts,1,0,0,0,0,0
"facts,",0,0,0,0,0,1
facts.,1,0,0,0,0,1
faculties,1,0,0,0,0,0
faded,1,0,1,0,0,0
"faded,",0,0,1,0,0,0
fading,1,0,0,0,0,0
faggots,0,0,0,0,1,0
faggots.[259],0,0,0,0,1,0
fagoted,0,0,0,0,1,0
fail,1,0,0,0,0,1
fail.,1,0,0,0,0,0
failed,1,0,0,0,1,1
"failed,",0,0,0,0,1,1
failed.,1,0,1,0,1,1
failed:,0,0,0,0,0,1
failed;,0,0,0,0,0,1
failings,0,1,0,0,0,0
fails,0,0,0,0,0,1
failure,0,0,0,0,1,1
"failure,",1,0,0,0,1,0
"failure,”",1,0,0,0,0,0
failure.,1,0,0,0,1,0
failure;,0,0,0,0,1,1
failures,0,0,0,0,1,1
failures.,1,0,0,0,0,0
fain,0,0,1,0,0,0
faint,1,0,1,0,1,0
fainted,1,0,0,0,0,0
fainted.”,1,0,0,0,0,0
"fainting,",0,0,0,0,0,1
faintly,1,0,1,0,0,0
"faintly,",1,0,0,0,0,0
faintly.,1,0,1,0,0,0
fair,1,1,1,1,1,1
"fair,",1,0,1,1,1,0
"fair,'",0,0,0,0,1,0
fair.,1,0,1,0,0,0
fair;,0,0,1,0,0,0
fairer,0,0,0,0,1,0
fairest,0,0,0,0,0,1
fairly,1,0,0,0,1,0
"fairly,[567]",0,0,0,0,1,0
fairly.,1,0,0,0,0,0
fairs,0,0,0,0,1,0
"fairs,",0,0,0,0,1,0
fairy,0,1,0,0,0,0
fairyland,1,0,0,0,0,0
fairyland.,1,0,0,0,0,0
fairy—,0,1,0,0,0,0
faith,1,1,1,0,0,1
"faith,",0,0,0,0,0,1
faith.,1,0,0,0,0,1
faith.”,1,0,0,0,0,0
faithful,0,0,1,0,1,1
"faithful,",0,0,0,0,0,1
faithfully,0,0,0,0,0,1
faithless,0,0,0,0,0,1
"faldae,",0,0,0,0,1,0
"faldae_,",0,0,0,0,1,0
fall,1,0,1,0,1,1
"fall,",0,0,0,0,1,1
fall.,1,0,1,0,1,0
"fall.""",0,0,1,0,0,0
fall.”,1,0,0,0,0,0
fallacy,0,0,0,0,1,0
fallen,1,1,1,0,1,1
fallen!,1,0,0,0,0,0
"fallen,",0,0,0,0,0,1
fallen.,1,0,0,0,1,1
falling,1,0,1,0,1,1
"falling,[167]",0,0,0,0,1,0
falling.,1,0,0,0,0,0
falling.'[400],0,0,0,0,1,0
falling.[672],0,0,0,0,1,0
falling—,0,1,0,0,0,0
fallow,0,0,0,0,1,0
"fallow,",0,0,0,0,1,0
fallow--though,0,0,0,0,1,0
fallow.,0,0,0,0,1,0
fallow;,0,0,0,0,1,0
fallowed,0,0,0,0,1,0
"fallowed,",0,0,0,0,1,0
fallowing,0,0,0,0,1,0
fallows,0,0,0,0,1,0
"fallows,",0,0,0,0,1,0
falls,0,1,0,0,0,1
false,0,1,1,0,1,1
falsehood,1,1,0,0,0,0
falsely,0,1,0,0,0,0
falseness,0,0,0,0,0,1
faltered,1,0,1,0,0,0
"faltered,",1,0,0,0,0,0
faltering,0,0,1,0,0,0
fame,0,0,0,0,1,1
"fame,",0,0,0,0,0,1
fame;,0,0,0,0,0,1
familiar,1,1,1,0,1,1
familiar;,0,0,0,0,1,0
familiarity.,0,0,0,0,0,1
families,1,0,0,1,1,1
families',0,0,0,0,1,0
"families,",0,0,0,0,1,1
families.,0,0,0,0,1,1
families.'[426],0,0,0,0,1,0
families.[8],0,0,0,0,0,1
families;,0,0,0,0,1,0
family,1,0,1,1,1,1
family!,0,0,0,0,1,0
family!”,1,0,0,0,0,0
"family,",1,1,1,0,1,1
"family,""",0,0,1,0,0,0
family.,0,1,1,0,1,1
family.[136],0,0,0,0,1,0
family:,0,0,0,0,0,1
family;,0,0,1,0,0,1
family?,1,0,0,0,1,0
family—Mr.,1,0,0,0,0,0
family—the,1,0,0,0,0,0
famine,0,0,0,0,1,1
"famine,",0,0,0,1,0,1
famine.,0,0,0,0,1,1
famine;,0,0,0,0,1,0
"famines,",0,0,0,0,1,0
famous,1,0,0,1,1,1
"famous,",0,0,0,0,1,0
famous.,0,0,0,0,0,1
famous;,0,0,0,0,1,0
fan,0,0,0,0,1,0
"fan,",0,0,0,0,1,0
fancied,1,0,1,0,1,1
fancy,1,1,1,0,1,1
"fancy!—Now,",0,1,0,0,0,0
"fancy,",1,1,0,0,0,0
fancy-dress,0,1,0,0,0,0
fancy.,1,0,0,0,0,0
fancying,0,0,1,0,0,0
fanned,0,0,0,0,0,1
fanning,0,0,0,0,1,0
"fanning,",0,0,0,0,1,0
"fans,",0,0,0,0,1,0
fantastic,1,0,0,0,0,0
far,1,1,1,1,1,1
"far,",1,1,1,0,1,0
far-distant,0,0,0,0,0,1
far.,1,0,0,0,0,0
far;,1,0,0,0,0,0
far[634],0,0,0,0,1,0
"farce,",0,0,0,0,0,1
"farces,",0,0,0,0,0,1
fare,0,0,0,0,1,1
fare?,0,0,0,0,1,0
fared,0,0,0,0,1,0
faremo,1,0,0,0,0,0
faremo—”,1,0,0,0,0,0
fares,0,0,0,0,1,0
farm,0,0,0,0,1,1
"farm,",0,0,0,0,1,1
farm-buildings,0,0,0,0,1,0
"farm-buildings,",0,0,0,0,1,0
farm-hand,0,0,0,0,1,0
"farm-horses,",0,0,0,0,1,0
farm-house,0,0,0,0,1,0
"farm-house,",0,0,0,0,1,0
farm.,0,0,0,0,1,1
farm:,0,0,0,0,1,0
farm;,0,0,0,0,1,0
farmed,0,0,0,0,1,1
"farmed,",0,0,0,0,1,0
farmer,0,0,0,0,1,0
farmer'.[626],0,0,0,0,1,0
farmer's,0,0,0,0,1,0
"farmer's,",0,0,0,0,1,0
"farmer,",0,0,0,0,1,0
farmer.,0,0,0,0,1,0
farmer.[178],0,0,0,0,1,0
farmer:,0,0,0,0,1,0
farmer;,0,0,0,0,1,0
farmer[556],0,0,0,0,1,0
farmers,0,0,0,0,1,1
farmers',0,0,0,0,1,0
farmers';,0,0,0,0,1,0
farmers),0,0,0,1,0,0
"farmers,",0,0,0,1,1,0
farmers.,0,0,1,0,1,0
farmers.'[640],0,0,0,0,1,0
farmers:,0,0,0,0,1,0
farmers;,0,0,0,0,1,0
farmhouses,0,0,0,0,1,0
farmhouses',0,0,0,0,1,0
"farmhouses,",0,0,0,0,1,0
farmhouses.,0,0,0,0,1,0
farming,0,0,0,0,1,1
"farming,",0,0,0,0,1,0
farming.,0,0,0,0,1,0
farming.[126],0,0,0,0,1,0
farming.[200],0,0,0,0,1,0
farming.[40],0,0,0,0,1,0
farming:--,0,0,0,0,1,0
farming;,0,0,0,0,1,0
farms,0,0,0,0,1,1
farms',0,0,0,0,1,0
"farms,",0,0,0,0,1,1
farms.,0,0,0,0,1,1
farms.',0,0,0,0,1,0
farms;,0,0,0,0,1,0
farmyard,0,0,0,0,1,0
"farmyard,",0,0,0,0,1,0
farrow,0,0,0,0,1,0
farrow;,0,0,0,1,0,0
farther,1,1,1,0,1,1
farther.,0,0,0,0,0,1
farther;,0,0,0,0,0,1
farthing,0,0,1,0,0,0
fasces,0,0,0,0,0,1
"fasces,",0,0,0,0,0,1
fascinated,0,0,0,0,0,1
"fascinating,",0,1,0,0,0,0
fascinations,0,0,0,0,0,1
fashion,1,0,0,0,1,0
"fashion,",1,0,0,0,1,1
fashion.'[482],0,0,0,0,1,0
fashionable,1,0,1,0,1,0
fashioned,1,0,0,0,0,0
fast,0,0,1,1,1,0
fast';,0,0,0,0,1,0
"fast,",0,0,1,0,1,0
fast.,0,0,1,0,0,0
fast.[306],0,0,0,0,1,0
"fast?""",0,0,1,0,0,0
fastened,1,0,1,0,0,1
"fastenings,",1,0,0,0,0,0
faster,0,0,0,0,1,0
"faster,",0,0,0,0,1,0
fastidious,1,0,0,0,0,0
fastnesses,0,0,0,0,0,1
"fastnesses,",0,0,0,0,0,1
fat,1,0,1,1,1,1
"fat,",0,0,1,0,1,1
fat.,0,0,0,0,1,0
fatal,1,0,0,0,0,1
"fatal,",0,0,0,0,0,1
fatal.,0,0,0,0,0,1
fatally,0,0,0,0,0,1
fate,1,0,1,0,1,1
"fate,",1,0,0,0,0,1
fate.,0,0,1,0,0,1
father,1,1,1,0,1,1
"father!""",0,0,1,0,0,0
father's,0,0,1,0,1,1
"father,",1,1,1,0,1,1
"father,”",1,0,0,0,0,0
father-in-law,0,0,0,0,0,1
"father-in-law,",0,0,0,0,0,1
father.,1,1,1,0,0,1
father?,0,1,0,0,0,0
fathers,0,0,0,0,0,1
"fathers,",0,0,0,1,0,1
fathers.,0,0,1,0,1,0
father—I,0,1,0,0,0,0
father—such,1,0,0,0,0,0
father—to,1,0,0,0,0,0
father’s,1,1,0,0,0,0
father”—he,1,0,0,0,0,0
fathomed,1,0,0,0,0,0
fathoms,0,0,1,0,0,0
fatigue,0,0,0,0,0,1
"fatigue,",0,0,0,0,0,1
fatigues,0,0,1,0,0,1
fatness,0,0,1,0,1,0
fatted,0,0,0,0,1,0
fatted',0,0,0,0,1,0
fatten,0,0,0,1,1,0
"fatten,",0,0,0,0,1,0
fatten;,0,0,0,0,1,0
fattened,0,0,0,0,1,0
fatteners.,0,0,0,0,1,0
fattening,0,0,0,0,1,0
fattest,0,0,0,1,0,0
fatting,0,0,0,0,1,0
fault,1,1,0,0,0,1
"fault,",1,0,0,0,0,0
faultless.,0,0,0,0,0,1
faults,1,0,0,0,0,1
faults;,0,0,0,0,0,1
favor,0,0,0,0,0,1
"favor,",0,0,0,0,0,1
favor.,0,0,0,0,0,1
favor;,0,0,0,0,0,1
favorable,0,0,0,0,0,1
"favorable,",0,0,0,0,0,1
favorably,0,0,0,0,0,1
favored,0,0,0,0,0,1
favorite,0,0,0,0,0,1
"favorite,",0,0,0,0,0,1
favorite;,0,0,0,0,0,1
favorites,0,0,0,0,0,1
favors,0,0,0,0,0,1
"favors,",0,0,0,0,0,1
favors.,0,0,0,0,0,1
favour,1,1,1,0,1,0
"favour,",1,1,1,0,0,0
favour:,1,0,0,0,0,0
"favour?""",0,0,1,0,0,0
favourable,0,0,0,0,1,0
"favourable,",0,1,0,0,0,0
favourably.,1,0,0,0,0,0
favoured,0,0,0,0,1,0
favouring,1,0,0,0,1,0
favourite,1,0,0,0,1,0
"favourite),",0,0,0,0,1,0
favourites,0,0,0,0,1,0
favours,0,0,0,0,1,0
favour—,0,1,0,0,0,0
"fawn,",0,0,0,0,0,1
façade,1,0,0,0,0,0
fear,1,1,1,1,1,1
"fear,",1,0,0,0,0,1
"fear,”",1,0,0,0,0,0
fear.,0,0,0,0,0,1
fear:,0,0,1,0,0,0
feared,1,0,1,0,1,1
feared;,0,1,0,0,0,0
fearful,1,0,1,0,0,1
"fearful,",0,0,0,0,1,0
fearfully,1,0,0,0,0,1
"fearfully,",1,0,0,0,0,0
fearing,1,0,0,0,1,1
fears,0,0,0,0,0,1
fears.,0,0,0,0,0,1
feast,0,0,1,0,1,0
"feast,",0,0,0,1,0,0
feast;,1,0,0,0,0,0
feasted,0,0,0,0,0,1
feasting,0,0,0,0,0,1
"feasting,",0,0,0,0,1,0
feasts,0,0,0,0,1,0
feat,0,0,0,0,1,0
feat;,0,0,0,0,1,0
feather,0,0,0,0,1,0
"feather,",0,0,1,0,0,0
"feather-beds,",0,0,1,0,0,0
featherbrain!—are,0,1,0,0,0,0
feathered,0,0,1,0,0,0
featherhead!,0,1,0,0,0,0
feathers.,0,1,0,0,0,0
feature,0,0,1,0,1,0
features,1,0,1,0,1,1
"features,",0,0,1,0,0,0
fed,1,0,0,0,1,0
"fed,",0,0,1,0,1,0
federal,1,1,1,1,1,1
fee,1,1,1,1,1,1
fee-simple,0,0,0,0,1,0
fee.,0,0,0,0,1,0
feeble,1,0,1,0,0,1
"feeble,",0,0,0,0,0,1
feebly,1,0,1,0,0,0
feed,0,0,0,0,1,1
"feed,",0,0,0,0,1,0
feed[208];,0,0,0,0,1,0
feeding,0,0,0,0,1,0
"feeding,",0,0,0,1,1,0
feeds,0,0,0,0,1,0
feel,1,1,1,0,1,1
feel!,1,0,0,0,0,0
"feel,",1,1,1,0,0,0
feel.,1,0,0,0,0,0
feeling,1,0,1,0,1,1
"feeling,",0,1,0,0,0,1
feeling.,1,0,1,0,0,0
feelings,1,0,0,0,0,1
feels,1,0,1,0,1,0
feels!”,1,0,0,0,0,0
feel—never,1,0,0,0,0,0
feel—”,1,0,0,0,0,0
fees,1,1,1,1,1,1
"fees,",1,1,1,1,1,1
fees.,1,1,1,1,1,1
feet,1,0,1,0,1,1
feet';,0,0,0,0,1,0
"feet,",1,0,1,0,1,1
feet.,1,1,0,0,1,1
feet;,0,0,1,0,1,0
feet;',0,0,0,0,1,0
feet?”,1,0,0,0,0,0
"feet—“conventional,",1,0,0,0,0,0
feign,0,0,1,0,0,0
feigned,1,0,0,0,0,1
feigning,0,0,0,0,0,1
feint,0,0,1,0,0,0
felicities,0,0,0,0,0,1
felicity,1,0,0,0,1,1
fell,1,1,1,1,1,1
"fell,",1,0,0,0,1,1
fell.[630],0,0,0,0,1,0
"felled,",0,0,0,0,0,1
fellow,1,1,0,0,1,0
"fellow!""",0,0,1,0,0,0
fellow!”,0,1,0,0,0,0
"fellow,",1,1,1,0,0,0
"fellow,""",0,0,1,0,0,0
"fellow,”",1,0,0,0,0,0
fellow-'prentice.,0,0,1,0,0,0
fellow--came,0,0,1,0,0,0
fellow-Germans.,0,0,0,0,0,1
"fellow-barbarians,",0,0,0,0,0,1
fellow-beings,0,0,1,0,0,0
fellow-bondsman.,0,0,0,0,0,1
fellow-citizens,0,0,0,0,0,1
fellow-creatures,1,0,0,0,0,0
